User,Text,Date,Favorites,Retweets,Mentions,HashTags
BarackObama,"Obama: ""As long as I’m Commander-in-Chief, we will do whatever we must to protect those who serve their country abroad."" #SOTU",2013-02-13 03:05:00+00:00,731,333,,#SOTU
BarackObama,"President Obama: ""We will ensure equal treatment for all service members, and equal benefits for their families—gay and straight."" #SOTU",2013-02-13 03:06:33+00:00,2183,991,,#SOTU
BarackObama,"President Obama: ""Tonight, I’m announcing a non-partisan commission to improve the voting experience in America."" #SOTU",2013-02-13 03:08:17+00:00,502,258,,#SOTU
BarackObama,"Obama: ""I know this is not the first time this country has debated how to reduce gun violence. But this time is different."" #NowIsTheTime",2013-02-13 03:09:39+00:00,1504,467,,#NowIsTheTime
BarackObama,"""Senators of both parties are working together on tough new laws to prevent anyone from buying guns for resale to criminals."" #NowIsTheTime",2013-02-13 03:10:36+00:00,596,262,,#NowIsTheTime
BarackObama,"Obama: ""Police chiefs are asking for our help to get weapons of war and massive ammunition magazines off our streets."" #NowIsTheTime",2013-02-13 03:11:21+00:00,808,313,,#NowIsTheTime
BarackObama,"Obama: ""Gabby Giffords deserves a vote. The families of Newtown deserve a vote. The families of Aurora deserve a vote."" #NowIsTheTime",2013-02-13 03:13:45+00:00,3293,1013,,#NowIsTheTime
BarackObama,"RT if you support the President's plan to reduce gun violence and help protect our kids. #NowIsTheTime,",2013-02-13 03:14:26+00:00,8035,1300,,#NowIsTheTime
BarackObama,"Obama: We may ""hold different views than the person beside us. But as Americans, we all share the same proud title: We are citizens."" #SOTU",2013-02-13 03:16:31+00:00,2377,812,,#SOTU
BarackObama,"""It remains the task of us all, as citizens of these United States, to be the authors of the next great chapter in our American story.""",2013-02-13 03:17:21+00:00,1976,694,,
BarackObama,"RT if you support President Obama's plan to create jobs and grow the middle class. #JobsNow,",2013-02-13 03:19:46+00:00,5408,1466,,#JobsNow
BarackObama,"We have an obligation to try: #TheyDeserveAVote,",2013-02-13 03:30:28+00:00,1915,979,,#TheyDeserveAVote
BarackObama,"President Obama: Use #JobsNow to ""tweet your support of my plan to create jobs and strengthen the middle class.""",2013-02-13 03:39:45+00:00,1056,285,,#JobsNow
BarackObama,"FACT: U.S. businesses have added more than 6.1 million jobs in the last 35 months. #JobsNow,",2013-02-13 03:41:52+00:00,998,443,,#JobsNow
BarackObama,"FACT: In the last three years, American manufacturers have added nearly 500,000 jobs. #JobsNow",2013-02-13 03:43:41+00:00,777,349,,#JobsNow
BarackObama,"Obama's plan grows the economy by investing in manufacturing, infrastructure, clean energy, and education w/o raising the deficit. #JobsNow",2013-02-13 03:50:02+00:00,1143,416,,#JobsNow
BarackObama,RT if you agree: We need to keep growing our economy from the middle out—not go back to the top-down policies that crashed it. #JobsNow,2013-02-13 04:01:35+00:00,3643,626,,#JobsNow
BarackObama,"If you missed it, watch the President's #SOTU address with enhanced graphics &amp; stats on his plan to grow our economy: http://OFA.BO/1TJn36",2013-02-13 14:41:03+00:00,606,436,,#SOTU
BarackObama,FACT: 92% of Americans support requiring background checks for all gun sales—RT if you're one of them.,2013-02-13 15:57:24+00:00,6086,1080,,
BarackObama,Watch live: President Obama speaks in North Carolina about his plan to create jobs and grow our economy. http://OFA.BO/i8QW22 #JobsNow,2013-02-13 17:13:15+00:00,234,145,,#JobsNow
BarackObama,"President Obama on restoring America's basic bargain: ""If you work hard, if you're willing to meet your responsibilities—you can get ahead.""",2013-02-13 17:16:27+00:00,671,280,,
